trialType,trialID,BlockID,image,audio,audioType,audioDur
training,1,1,star1,japanese_1_65dB,forward,34250
training,2,1,star1,starling_1_70dB,birdsong,34250
training,1,2,star1,japanese_1_65dB,forward,34250
training,2,2,star1,starling_1_70dB,birdsong,34250
training,1,3,star1,japanese_1_65dB,forward,34250
training,2,3,star1,starling_1_70dB,birdsong,34250
training,1,4,star1,japanese_1_65dB,forward,34250
training,2,4,star1,starling_1_70dB,birdsong,34250
training,1,5,star1,japanese_1_65dB,forward,34250
training,2,5,star1,starling_1_70dB,birdsong,34250
training,1,6,star1,japanese_1_65dB,forward,34250
training,2,6,star1,starling_1_70dB,birdsong,34250
